# Selection   : all 
# Volume      : 7.500000e-05
# Time        	max(cloud:alpha)
0.452381      	4.998894e-01
0.454286      	4.998894e-01
0.456463      	4.998894e-01
0.459024      	4.998894e-01
0.46195       	4.998894e-01
0.464329      	5.198850e-01
0.466877      	5.398806e-01
0.469085      	5.398806e-01
0.471293      	5.398806e-01
0.473501      	5.398806e-01
0.476151      	5.398806e-01
0.478536      	5.398806e-01
0.480682      	5.398806e-01
0.482614      	5.398806e-01
0.484787      	5.598761e-01
0.487323      	5.598761e-01
0.489858      	5.598761e-01
0.492394      	5.598761e-01
0.494295      	5.598761e-01
0.496197      	5.598761e-01
0.498098      	5.798717e-01
0.5           	5.798717e-01
0.502083      	5.798717e-01
0.504167      	5.798717e-01
0.505929      	5.798717e-01
0.508028      	5.798717e-01
0.510497      	5.798717e-01
0.513131      	5.798717e-01
0.515764      	5.798717e-01
0.51821       	5.798717e-01
0.520859      	5.798717e-01
0.5231        	5.798717e-01
0.525342      	5.798717e-01
0.527584      	5.798717e-01
0.529621      	5.998673e-01
0.531886      	5.998673e-01
0.53415       	5.998673e-01
0.536131      	5.998673e-01
0.538443      	5.998673e-01
0.540369      	5.998673e-01
0.542295      	5.998673e-01
0.544221      	5.998673e-01
0.546148      	5.998673e-01
0.548074      	5.998673e-01
0.55          	5.998673e-01
0.552273      	5.998673e-01
0.554924      	5.998673e-01
0.557576      	5.998673e-01
0.559809      	5.998673e-01
0.562488      	5.998673e-01
0.563931      	6.198629e-01
0.565648      	6.198629e-01
0.567669      	6.198629e-01
0.569978      	6.198629e-01
0.572708      	6.398584e-01
0.575189      	6.398584e-01
0.57767       	6.398584e-01
0.5797        	6.598540e-01
0.58173       	6.598540e-01
0.584014      	6.598540e-01
0.586678      	6.798496e-01
0.588343      	6.798496e-01
0.5898        	6.798496e-01
0.5915        	6.798496e-01
0.5932        	6.798496e-01
0.5949        	6.798496e-01
0.5966        	6.798496e-01
0.5983        	6.798496e-01
0.59915       	6.798496e-01
0.6           	6.798496e-01
0.601         	6.798496e-01
0.602195      	6.798496e-01
0.603601      	6.798496e-01
0.605258      	6.598540e-01
0.607204      	6.598540e-01
0.609456      	6.598540e-01
0.612159      	6.598540e-01
0.61507       	6.598540e-01
0.616816      	7.198407e-01
0.618475      	6.598540e-01
0.619789      	6.598540e-01
0.6213        	6.798496e-01
0.623093      	6.798496e-01
0.625163      	6.798496e-01
0.627647      	6.798496e-01
0.63013       	6.798496e-01
0.632969      	6.998452e-01
0.634861      	6.798496e-01
0.636543      	6.998452e-01
0.638466      	6.998452e-01
0.640114      	6.998452e-01
0.641526      	7.598319e-01
0.642736      	6.998452e-01
0.643644      	7.198407e-01
0.644704      	6.998452e-01
0.645763      	7.198407e-01
0.646822      	7.198407e-01
0.647881      	7.198407e-01
0.648941      	7.198407e-01
0.65          	7.198407e-01
0.65125       	7.198407e-01
0.652727      	7.198407e-01
0.654478      	7.398363e-01
0.656048      	7.398363e-01
0.657879      	7.398363e-01
0.659985      	7.398363e-01
0.662208      	7.798275e-01
0.664308      	7.598319e-01
0.666291      	7.998230e-01
0.668274      	7.598319e-01
0.669943      	7.598319e-01
0.671947      	7.598319e-01
0.673951      	7.598319e-01
0.676319      	7.598319e-01
0.677898      	7.598319e-01
0.678902      	7.598319e-01
0.680075      	7.598319e-01
0.681403      	7.598319e-01
0.682953      	7.598319e-01
0.684657      	7.598319e-01
0.686575      	7.598319e-01
0.688493      	7.798275e-01
0.690794      	7.798275e-01
0.693096      	7.798275e-01
0.694822      	7.798275e-01
0.696548      	7.798275e-01
0.698274      	7.798275e-01
0.7           	7.598319e-01
0.702         	7.598319e-01
0.7036        	7.598319e-01
0.705257      	7.798275e-01
0.707047      	8.198186e-01
0.708699      	7.598319e-01
0.709914      	7.598319e-01
0.711345      	7.598319e-01
0.713026      	7.798275e-01
0.714875      	7.598319e-01
0.715878      	7.598319e-01
0.716731      	7.598319e-01
0.717739      	7.598319e-01
0.718852      	7.598319e-01
0.72015       	7.598319e-01
0.721642      	7.598319e-01
0.72331       	7.598319e-01
0.724793      	7.598319e-01
0.726474      	7.598319e-01
0.728434      	7.598319e-01
0.729782      	7.598319e-01
0.730745      	7.798275e-01
0.731877      	7.798275e-01
0.733086      	7.798275e-01
0.734081      	7.798275e-01
0.735218      	7.798275e-01
0.736449      	7.798275e-01
0.737417      	7.998230e-01
0.738256      	7.998230e-01
0.739235      	7.998230e-01
0.740004      	7.998230e-01
0.740559      	7.998230e-01
0.741189      	7.998230e-01
0.741923      	7.998230e-01
0.742731      	7.998230e-01
0.743639      	7.998230e-01
0.744169      	7.998230e-01
0.744752      	7.998230e-01
0.745408      	7.998230e-01
0.746174      	7.998230e-01
0.746811      	7.998230e-01
0.747449      	7.998230e-01
0.747959      	7.998230e-01
0.748469      	8.198186e-01
0.74898       	7.998230e-01
0.74949       	7.998230e-01
0.75          	7.998230e-01
0.75061       	7.998230e-01
0.751336      	7.998230e-01
0.752205      	7.998230e-01
0.753244      	7.998230e-01
0.754475      	7.998230e-01
0.755943      	7.998230e-01
0.757517      	8.198186e-01
0.758887      	7.998230e-01
0.760133      	7.798275e-01
0.761609      	7.798275e-01
0.763354      	7.998230e-01
0.76539       	7.998230e-01
0.767553      	7.998230e-01
0.769871      	7.998230e-01
0.772023      	7.998230e-01
0.773496      	7.998230e-01
0.774891      	7.998230e-01
0.776564      	7.998230e-01
0.778517      	7.998230e-01
0.77986       	8.398142e-01
0.781409      	8.198186e-01
0.783099      	8.198186e-01
0.784636      	8.198186e-01
0.786172      	8.198186e-01
0.787555      	8.798054e-01
0.788686      	7.998230e-01
0.789282      	7.998230e-01
0.789996      	7.998230e-01
0.79083       	7.998230e-01
0.791747      	7.998230e-01
0.792779      	7.998230e-01
0.793982      	7.998230e-01
0.795186      	7.998230e-01
0.796389      	7.998230e-01
0.797593      	8.198186e-01
0.798796      	8.198186e-01
0.8           	8.198186e-01
0.801429      	8.198186e-01
0.803103      	8.198186e-01
0.805057      	8.198186e-01
0.806786      	8.198186e-01
0.808844      	8.198186e-01
0.810902      	8.198186e-01
0.813345      	8.198186e-01
0.815636      	8.198186e-01
0.817658      	8.198186e-01
0.819275      	8.398142e-01
0.820738      	8.198186e-01
0.822068      	8.198186e-01
0.82362       	8.398142e-01
0.825378      	8.198186e-01
0.82743       	8.398142e-01
0.829687      	8.198186e-01
0.831041      	8.198186e-01
0.832621      	8.198186e-01
0.834359      	8.198186e-01
0.836314      	8.198186e-01
0.838269      	8.198186e-01
0.840615      	8.398142e-01
0.842492      	8.198186e-01
0.843994      	8.398142e-01
0.845495      	8.198186e-01
0.846396      	8.198186e-01
0.847297      	8.198186e-01
0.848198      	8.198186e-01
0.849099      	8.198186e-01
0.85          	8.198186e-01
0.851064      	8.198186e-01
0.852319      	8.198186e-01
0.853809      	8.398142e-01
0.855585      	8.198186e-01
0.8577        	8.598098e-01
0.859463      	8.398142e-01
0.861084      	8.598098e-01
0.86303       	8.398142e-01
0.865341      	8.598098e-01
0.867816      	8.398142e-01
0.869709      	8.598098e-01
0.871603      	8.198186e-01
0.873273      	8.598098e-01
0.874609      	8.398142e-01
0.876196      	8.598098e-01
0.877684      	8.398142e-01
0.878997      	8.598098e-01
0.880309      	8.598098e-01
0.881468      	8.598098e-01
0.882626      	8.398142e-01
0.883648      	8.598098e-01
0.88467       	8.398142e-01
0.885849      	8.398142e-01
0.887264      	8.398142e-01
0.888856      	8.398142e-01
0.890714      	8.598098e-01
0.892571      	8.398142e-01
0.894428      	8.598098e-01
0.895821      	8.598098e-01
0.896657      	8.598098e-01
0.897493      	8.598098e-01
0.898328      	8.598098e-01
0.899164      	8.598098e-01
0.9           	8.598098e-01
0.901         	8.598098e-01
0.901907      	8.398142e-01
0.902594      	8.598098e-01
0.903412      	8.598098e-01
0.904382      	8.798054e-01
0.905523      	8.398142e-01
0.906582      	8.398142e-01
0.907822      	8.398142e-01
0.909063      	8.398142e-01
